lines	file
1482	boltrig/store/postgres.py
580	boltrig/config/manifest.py
579	boltrig/store/memory.py
576	boltrig/kernel/platform_routes.py
565	boltrig/fleet/spawn.py
535	boltrig/adapters/generator.py
511	boltrig/kernel/app.py
444	boltrig/adapters/http_base.py
390	boltrig/identity/auth.py
390	boltrig/api/bootstrap.py
390	boltrig/adapters/builtin/ms_graph.py
364	boltrig/kernel/channel_routes.py
342	boltrig/kernel/access_routes.py
301	boltrig/memory/pgvector.py
297	boltrig/memory/adapter.py
284	boltrig/kernel/dispatch.py
284	boltrig/adapters/builtin/jira.py
271	boltrig/fleet/runtime.py
242	boltrig/adapters/sql_base.py
222	boltrig/store/base.py
201	boltrig/fleet/chat.py
192	boltrig/workflows/generator.py
186	boltrig/workflows/interpreter.py
175	boltrig/memory/embeddings.py
172	boltrig/fleet/department_head.py
169	boltrig/models/__init__.py
169	boltrig/adapters/builtin/inbound_webhook.py
168	boltrig/kernel/mcp.py
163	boltrig/skills/shelf.py
162	boltrig/identity/rbac.py
147	boltrig/adapters/builtin/mq_file.py
146	boltrig/skills/schema.py
144	boltrig/skills/loader.py
144	boltrig/memory/vector.py
144	boltrig/kernel/__init__.py
141	boltrig/fleet/chief_of_staff.py
139	boltrig/models/errors.py
136	boltrig/fleet/pi_runtime.py
131	boltrig/identity/provisioning.py
131	boltrig/fleet/workers.py
130	boltrig/config/control_plane.py
129	boltrig/workflows/library.py
128	boltrig/adapters/egress.py
122	boltrig/models/grants.py
122	boltrig/identity/tokens.py
120	boltrig/kernel/audit.py
119	boltrig/adapters/builtin/crm_sql.py
116	boltrig/memory/local.py
116	boltrig/kernel/hitl.py
116	boltrig/adapters/mcp_consumer.py
116	boltrig/adapters/builtin/web_fetch.py
115	boltrig/kernel/memory_routes.py
113	boltrig/kernel/web_security.py
111	boltrig/work/store.py
111	boltrig/kernel/registry.py
109	boltrig/work/queue.py
107	boltrig/models/libraries.py
105	boltrig/memory/cognify.py
104	boltrig/adapters/base.py
102	boltrig/fleet/hatchet_app.py
98	boltrig/fleet/model_gateway.py
98	boltrig/adapters/builtin/memory_tickets.py
96	boltrig/models/channels.py
90	boltrig/models/platform.py
85	boltrig/memory/engine.py
84	boltrig/work/normalise.py
83	boltrig/config/admin.py
81	boltrig/config/settings.py
78	boltrig/fleet/eval.py
77	boltrig/kernel/ratelimit.py
77	boltrig/kernel/events.py
76	boltrig/fleet/result.py
75	boltrig/models/registry.py
75	boltrig/fleet/continuity.py
70	boltrig/models/access.py
69	boltrig/kernel/credentials.py
69	boltrig/kernel/cost.py
67	boltrig/memory/cognee.py
66	boltrig/kernel/pii.py
65	boltrig/models/hitl.py
65	boltrig/fleet/model_router.py
65	boltrig/api/cli.py
64	boltrig/models/memory.py
58	boltrig/fleet/__init__.py
56	boltrig/observability/tree.py
56	boltrig/identity/delegation.py
55	boltrig/adapters/loader.py
53	boltrig/memory/__init__.py
52	boltrig/models/conversation.py
50	boltrig/models/audit.py
50	boltrig/kernel/channel_gateway.py
47	boltrig/config/__init__.py
42	boltrig/api/worker.py
41	boltrig/models/work.py
38	boltrig/models/identity.py
37	boltrig/identity/__init__.py
31	boltrig/models/context.py
29	boltrig/work/__init__.py
28	boltrig/models/base.py
25	boltrig/skills/__init__.py
24	boltrig/workflows/__init__.py
23	boltrig/kernel/grants.py
22	boltrig/fleet/hatchet_worker.py
18	boltrig/store/__init__.py
16	boltrig/adapters/__init__.py
10	boltrig/api/asgi.py
8	boltrig/__init__.py
5	boltrig/api/__init__.py
1	boltrig/observability/__init__.py
1	boltrig/adapters/builtin/__init__.py
